Unidad,Cuad,Nivel,Rasgo,Excavador,Fecha,Context,N frag.,Tamaño frag.,Length,Width,Thickness,Material,Technological Type,Debris,Platform Type,Termination,% Cortex,Portion,Modification,Weight,Notes,Foto,House_Num,Location_Type,Context_Type,Debris_Label
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,2,0,1,0,3,,0.25,MOQ-1983,,House 2,Inside,Domestic,Flake shatter
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.37,MOQ-1984,,House 2,Inside,Domestic,Angular debris
7,21,203-207,House 2 Floor,RP/LL,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.6,MOQ-1985,,House 2,Inside,Domestic,Proximal flake
7,34,76-82,House 2 Outside,MB/LL,21/06/23,,1,1,,,,16,,1,2,0,1,2,,0.45,MOQ-1992,,House 2,Outside,Domestic,Proximal flake
7,21,203-207,House 2 Floor,RP/LL,24/06/23,,1,1,,,,16,,1,2,1,0,1,,0.2,MOQ-1964,,House 2,Inside,Domestic,Proximal flake
7,29,159-163,House 2,AFA,29/06/23,,1,2,,,,16,,1,1,2,0,1,1,0.64,MOQ-2043,,House 2,Unspecified (House),Domestic,Proximal flake
7,29,159-163,House 2,AFA,29/06/23,,1,1,,,,16,4,,,1,0,,2,0.54,MOQ-2044,x,House 2,Unspecified (House),Domestic,Missing
7,29,159-163,House 2,AFA,29/06/23,,1,1,,,,16,,1,1,1,0,1,,0.45,MOQ-2045,,House 2,Unspecified (House),Domestic,Proximal flake
7,29,159-163,House 2,AFA,29/06/23,,1,1,,,,16,4,,,1,0,,2,0.57,MOQ-2046,x,House 2,Unspecified (House),Domestic,Missing
7,29,159-163,House 2,AFA,29/06/23,,1,2,16.3,12.73,3.93,16,4,,,1,0,,2,0.79,MOQ-2047,x,House 2,Unspecified (House),Domestic,Missing
7,36N,103-105,House 2 Outside,RVQ,27/06/23,,1,1,,,,16,,3,0,0,0,0,,0.07,MOQ-2041,,House 2,Outside,Domestic,Angular debris
7,36N,103-105,House 2 Outside,RVQ,27/06/23,,1,1,,,,16,,1,0,0,0,4,,0.51,MOQ-2042,,House 2,Outside,Domestic,Proximal flake
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.13,MOQ-1969,,House 1,Inside,Domestic,Proximal flake
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-1970,,House 1,Inside,Domestic,Angular debris
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,2,0,1,0,3,,0.35,MOQ-1971,,House 1,Inside,Domestic,Flake shatter
7,27,145-146,House 1 Inside,MB/LL/RP,29/06/23,,1,1,,,,16,,2,0,0,0,0,,0.03,not-pxrfd,,House 1,Inside,Domestic,Flake shatter
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,2,,,,16,,1,1,2,0,1,1,1.0,MOQ-1952,,House 1,Outside,Domestic,Proximal flake
7,30,165-171,House 1 Inside,RV/SC,28/06/23,,1,1,,,,16,,2,0,0,0,0,,0.03,MOQ-1843,x,House 1,Inside,Domestic,Flake shatter
7,28,151-152,House 1 Inside,MB/R,28/06/23,,1,2,,,,16,,1,0,1,0,3,,0.4,MOQ-1844,,House 1,Inside,Domestic,Proximal flake
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.02,MOQ-1940,,House 1,Outside,Domestic,Angular debris
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.05,MOQ-1941,,House 1,Outside,Domestic,Angular debris
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,1,0,1,0,3,,0.04,MOQ-1942,,House 1,Outside,Domestic,Proximal flake
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.09,MOQ-1943,,House 1,Outside,Domestic,Angular debris
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,1,0,1,0,3,,0.08,MOQ-1944,,House 1,Outside,Domestic,Proximal flake
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,1,,,,16,,3,0,0,0,0,,0.54,MOQ-1945,,House 1,Outside,Domestic,Angular debris
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,2,0,0,0,0,,0.67,MOQ-1946,,House 1,Outside,Domestic,Flake shatter
7,24SW,253-261,House 4 Below Floor,MB/LL/RV,24/07/23,,1,1,,,,16,,1,2,2,0,1,1,0.64,MOQ-1951,,House 4,Inside,Domestic,Proximal flake
7,30NE,268-275,House 5 Outside,MB/LL,28/07/23,,1,1,,,,16,,1,0,0,0,4,,0.06,MOQ-1903,,House 5,Outside,Domestic,Proximal flake
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,3,0,0,0,0,,0.75,MOQ-1930,,House 1,Outside,Domestic,Angular debris
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.47,MOQ-1784,,House 1,Inside,Domestic,Angular debris
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,2,0,0,0,0,,0.28,MOQ-1785,,House 1,Inside,Domestic,Flake shatter
7,34N,82-92,House 1 Outside,MB/RP/LL,27/07/23,,1,1,,,,16,,3,0,0,0,0,,0.03,MOQ-1919,x,House 1,Outside,Domestic,Angular debris
7,34N,82-92,House 1 Outside,MB/RP/LL,27/07/23,,1,1,,,,16,,3,0,0,0,0,,0.24,MOQ-1920,x,House 1,Outside,Domestic,Angular debris
7,36N,103-105,House 1 Outside,RVQ,27/06/23,,1,1,,,,16,,1,0,3,0,3,,0.05,MOQ-1959,,House 1,Outside,Domestic,Proximal flake
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,2,0,0,0,0,2,0.46,MOQ-1948,,House 1,Outside,Domestic,Flake shatter
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,0,1,0,3,,0.24,MOQ-2061,,House 3,Outside,Domestic,Proximal flake
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,0,2,0,3,,0.06,MOQ-2062,,House 3,Outside,Domestic,Proximal flake
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,1,1,0,0,2,1,0.18,MOQ-1936,,House 1,Above,Domestic,Proximal flake
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,1,0,2,0,3,1,0.15,MOQ-1937,,House 1,Above,Domestic,Proximal flake
7,24,233-238,House 1 Above,AFA,29/06/23,,1,1,,,,16,,1,0,2,0,3,,0.11,MOQ-1938,,House 1,Above,Domestic,Proximal flake
7,35N,87-106,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,1,1,1,0,1,1,0.8,MOQ-1976,x,House 1,Outside,Domestic,Proximal flake
7,35N,87-106,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,1,0,0,0,4,,0.5,MOQ-1977,,House 1,Outside,Domestic,Proximal flake
7,17S,283-292,,GD/EN,1/8/2023,,1,2,,,,16,,1,1,1,0,1,1,0.7,MOQ-1787,,,Unknown,No Context,Proximal flake
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,2,0,0,0,0,,0.09,MOQ-1926,,House 3,Outside,Domestic,Flake shatter
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,1,1,0,1,,0.26,MOQ-1927,x,House 3,Outside,Domestic,Proximal flake
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,2,,,,16,,1,1,2,0,1,,0.68,MOQ-1928,,House 3,Outside,Domestic,Proximal flake
7,35S,81-94,House 1 Outside,AF/RV/SC,28/06/23,,1,2,,,,16,,1,1,2,0,1,,1.0,MOQ-1947,,House 1,Outside,Domestic,Proximal flake
7,34,76-82,House 1 Outside,MB/LL,21/06/23,,1,1,,,,16,,1,0,2,0,3,,0.02,MOQ-1864,,House 1,Outside,Domestic,Proximal flake
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,1,0,0,0,4,2,0.43,MOQ-1939,,House 1,Inside,Domestic,Proximal flake
7,22,217-220,House 1 Floor,GDD,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.23,MOQ-1776,,House 1,Inside,Domestic,Proximal flake
7,22,217-220,House 1 Floor,GDD,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.01,not-pxrfd,,House 1,Inside,Domestic,Angular debris
7,26,136-143,,ENHR,3/7/2023,,1,1,,,,16,,2,1,0,0,2,,0.57,MOQ-1901,,,Unknown,No Context,Flake shatter
7,27,145-146,House 1 Inside,MB/RP/LL,28/06/23,,1,2,,,,16,,1,0,0,0,4,,0.39,MOQ-1890,,House 1,Inside,Domestic,Proximal flake
7,18,303-314,,GDD,30/06/23,,1,1,,,,16,,1,1,2,0,1,,0.22,MOQ-1852,,,Unknown,No Context,Proximal flake
7,26,115-125,House 3 Above,GDD,22/06/23,,1,2,20.51,14.47,5.73,16,4,,,1,0,,,1.63,MOQ-2000,x,House 3,Above,Domestic,Missing
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,1,1,2,0,1,,0.11,MOQ-1742,,House 1,Inside,Domestic,Proximal flake
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,2,0,0,0,0,,0.08,MOQ-1743,,House 1,Inside,Domestic,Flake shatter
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,1,0,3,0,3,,0.12,MOQ-1744,,House 1,Inside,Domestic,Proximal flake
7,29,159-163,House 1 Inside,AFA,29/06/23,,1,1,,,,16,,3,0,0,0,0,,0.08,MOQ-1745,,House 1,Inside,Domestic,Angular debris
7,36S,103-80?,House 1 Inside,RVQ,28/06/23,,1,1,,,,16,,2,0,1,0,3,,0.09,MOQ-1814,,House 1,Inside,Domestic,Flake shatter
7,26,115-125,House 3 Above,GDD,22/06/23,,1,2,,,,16,,2,0,1,0,0,2,0.77,MOQ-1991,x,House 3,Above,Domestic,Flake shatter
7,29,183-,House 1,RVQ,13/06/23,,1,1,,,,16,,1,0,3,0,3,,0.14,MOQ-1935,,House 1,Unspecified (House),Domestic,Proximal flake
7,29,183-,House 1,RVQ,13/06/23,,1,1,,,,16,,1,1,2,0,1,,0.12,MOQ-1934,,House 1,Unspecified (House),Domestic,Proximal flake
7,29,183-,House 1,RVQ,13/06/23,,1,2,,,,16,,1,1,2,0,1,,0.52,MOQ-1933,,House 1,Unspecified (House),Domestic,Proximal flake
7,20,189-202,,GDD,29/06/23,,1,2,,,,16,,3,0,0,0,0,,0.84,MOQ-1833,,,Unknown,No Context,Angular debris
7,26,125-136,House 3 Outside,GDD,28/06/23,,1,1,,,,16,,1,1,3,0,1,1,0.73,MOQ-1826,,House 3,Outside,Domestic,Proximal flake
7,34S,56-71,House 1 Outside,MB/RP/LL,27/06/23,,1,1,,,,16,,3,0,0,0,0,,0.3,MOQ-1979,,House 1,Outside,Domestic,Angular debris
7,17S,283-292,,GDD/EN,1/8/2023,,1,2,,,,16,,2,1,0,0,0,,2.45,MOQ-1754,,,Unknown,No Context,Flake shatter
7,17S,283-292,,GDD/EN,1/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.31,MOQ-1755,,,Unknown,No Context,Flake shatter
7,17S,283-292,,GDD/EN,1/8/2023,,1,1,,,,16,,3,0,0,0,0,,0.05,MOQ-1756,,,Unknown,No Context,Angular debris
7,17S,283-292,,GDD/EN,1/8/2023,,1,1,,,,16,,2,0,0,0,0,,0.06,MOQ-1757,,,Unknown,No Context,Flake shatter
